"";"ApplicationNumber";"Mark";"MarkCurrentStatusCode";"ApplicationDate";"ExpiryDate";"DEPOSANT";"DEPOTIT";"MarkFeature";"url";"search";"FranceX";"depo";"titulaire"
"134";"3682178";"chambre de commerce et d&apos;industrie nord de france création";"Marque expirée";20091008;20191008;"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes, etablissement public de l&apos;etat";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3682178";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes, etablissement public de l&apos;etat NA";"Etablissement public"
"135";"3682189";"chambre de commerce et d&apos;industrie nord de france international";"Marque expirée";20091008;20191008;"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes, etablissement public de l&apos;etat";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3682189";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes, etablissement public de l&apos;etat NA";"Etablissement public"
"136";"3682193";"chambre de commerce et d&apos;industrie nord de france innovation";"Marque expirée";20091008;20191008;"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes, etablissement public de l&apos;etat";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3682193";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes, etablissement public de l&apos;etat NA";"Etablissement public"
"137";"3673508";"cdc france brevets";"Marque expirée";20090902;20190902;"caisse des depots et consignations, etablissement public à caractère spécial";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3673508";"France;EtablissementPublic";"Autre France";"caisse des depots et consignations, etablissement public à caractère spécial NA";"Etablissement public"
"138";"3669876";"aco aeroports du centre ouest mid west airports coeur de france heart of france";"Marque expirée";20090807;20190807;"chambre de commerce et d&apos;industrie de limoges et de la haute-vienne, etablissement public administratif";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3669876";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de limoges et de la haute-vienne, etablissement public administratif NA";"EPA"
"139";"3667415";"france brevets";"Marque ayant fait l&apos;objet d&apos;un retrait total";20090729;NA;"caisse des depots et consignations , etablissement public à caractère spécial";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3667415";"France;EtablissementPublic";"France X";"caisse des depots et consignations , etablissement public à caractère spécial NA";"Etablissement public"
"140";"3661162";"omega france";"Demande totalement rejetée";20090623;NA;"epsm lille metropole, etablissement public de sante mentale";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3661162";"France;EtablissementPublic";"X France";"epsm lille metropole, etablissement public de sante mentale NA";"Etablissement public"
"141";"3647753";"« ccif, chambres de commerce et d&apos;industrie de france »";"Marque expirée";20090604;20190604;"assemblée des chambres françaises de commerce et d&apos;industrie – acfci, service juridique, établissement public administratif de l&apos;état";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3647753";"France;EtablissementPublic";"[de|en|la] France";"assemblée des chambres françaises de commerce et d&apos;industrie – acfci, service juridique, établissement public administratif de l&apos;état NA";"EPA"
"142";"3647754";"« accif, assemblée des chambres de commerce et d&apos;industrie de france »";"Marque expirée";20090430;20190430;"assemblée des chambres françaises de commerce et d&apos;industrie – acfci, service juridique, établissement public administratif de l&apos;état";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3647754";"France;EtablissementPublic";"[de|en|la] France";"assemblée des chambres françaises de commerce et d&apos;industrie – acfci, service juridique, établissement public administratif de l&apos;état NA";"EPA"
"143";"3621032";"la france comme j&apos;aime";"Marque expirée";20090106;20190106;"la poste, etablissement public national";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3621032";"France;EtablissementPublic";"Autre France";"la poste, etablissement public national NA";"Etablissement public"
"144";"3621479";"france saveurs d&apos;outre-mer";"Marque expirée";20081219;20181219;"etat francais représentée par le secrétariat d&apos;etat à l&apos;outre-mer";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3621479";"France;EtatFrançais";"France X";"etat francais représentée par le secrétariat d&apos;etat à l&apos;outre-mer NA";"Etat Français"
"145";"3615382";"africa france business meetings – afbm";"Marque expirée";20081203;20181203;"chambre de commerce et d&apos;industrie de bordeaux ccib etablissement public administratif dag-dasj";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3615382";"France;EtablissementPublic";"Autre France";"chambre de commerce et d&apos;industrie de bordeaux ccib etablissement public administratif dag-dasj NA";"EPA"
"146";"3615379";"africa france business meetings l&apos;afrique qui gagne est à bordeaux";"Marque expirée";20081203;20181203;"chambre de commerce et d&apos;industrie de bordeaux etablissement public administratif";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3615379";"France;EtablissementPublic";"Autre France";"chambre de commerce et d&apos;industrie de bordeaux etablissement public administratif NA";"EPA"
"147";"3615390";"africa france business meetings the winning africa meets in bordeaux";"Marque expirée";20081203;20181203;"chambre de commerce et d&apos;industrie de bordeaux etablissement public administratif";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3615390";"France;EtablissementPublic";"Autre France";"chambre de commerce et d&apos;industrie de bordeaux etablissement public administratif NA";"EPA"
"148";"3608448";"médailles de france";"Marque renouvelée";20081030;20281030;"la monnaie de paris, etablissement public à caractère industriel et commercial";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3608448";"France;EtablissementPublic";"[de|en|la] France";"la monnaie de paris, etablissement public à caractère industriel et commercial NA";"EPIC"
"149";"3608449";"monnaie de france";"Marque expirée";20081030;20181030;"la monnaie de paris, etablissement public local a caractere industriel et commercial";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3608449";"France;EtablissementPublic";"[de|en|la] France";"la monnaie de paris, etablissement public local a caractere industriel et commercial NA";"EPIC"
"150";"3608452";"monnaies et médailles de france";"Marque expirée";20081030;20181030;"la monnaie de paris etablissement public local a caractere industriel et commercial";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3608452";"France;EtablissementPublic";"[de|en|la] France";"la monnaie de paris etablissement public local a caractere industriel et commercial NA";"EPIC"
"151";"3607273";"france rail";"Marque renouvelée";20081027;20281027;"sncf mobilités, etablissement public à caractère industriel et commercial";"sncf voyageurs, société anonyme";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3607273";"France;EtablissementPublic";"France X";"sncf mobilités, etablissement public à caractère industriel et commercial sncf voyageurs, société anonyme";"EPIC"
"152";"3605462";"france";"Marque renouvelée";20081017;20281017;"etat français, représenté par le ministre de l&apos;agriculture et de l&apos;alimentation, etat français";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3605462";"France;EtatFrançais";"X France";"etat français, représenté par le ministre de l&apos;agriculture et de l&apos;alimentation, etat français NA";"Etat Français"
"153";"3605463";"france bon appétit";"Marque renouvelée";20081017;20281017;"etat français, représenté par le ministre de l&apos;agriculture et de l&apos;alimentation, etat français";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3605463";"France;EtatFrançais";"France X";"etat français, représenté par le ministre de l&apos;agriculture et de l&apos;alimentation, etat français NA";"Etat Français"
"154";"3600339";"shom service hydrographique et océanographique de la marine – france";"Marque expirée";20080910;20180910;"service hydrographique et océanographique de la marine (shom) etablissement public à caractère administratif cs 92803";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3600339";"France;EtablissementPublic";"X France";"service hydrographique et océanographique de la marine (shom) etablissement public à caractère administratif cs 92803 NA";"EPA"
"155";"3595842";"france rendez*vous en france";"Marque expirée";20080825;20180825;"etat francais représenté par le ministère de l&apos;économie, de l&apos;industrie et de l&apos;emploi (ministère) service de la communication";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3595842";"France;EtatFrançais";"[de|en|la] France";"etat francais représenté par le ministère de l&apos;économie, de l&apos;industrie et de l&apos;emploi (ministère) service de la communication NA";"Etat Français"
"156";"3590159";"fer france";"Marque ayant fait l&apos;objet d&apos;un retrait total";20080723;NA;"société nationale des chemins de fer français – sncf etablissement public local à caractère industriel et commercial";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3590159";"France;EtablissementPublic";"X France";"société nationale des chemins de fer français – sncf etablissement public local à caractère industriel et commercial NA";"EPIC"
"157";"3590160";"rail france";"Marque renouvelée";20080723;20280723;"sncf mobilités, etablissement public à caractère industriel et commercial";"sncf voyageurs, société anonyme";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3590160";"France;EtablissementPublic";"X France";"sncf mobilités, etablissement public à caractère industriel et commercial sncf voyageurs, société anonyme";"EPIC"
"158";"3591258";"rendez-vous en france";"Marque expirée";20080722;20180722;"etat francais représenté par le ministère de l&apos;économie de l&apos;industrie et de l&apos;emploi ministère service de la communication";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3591258";"France;EtatFrançais";"[de|en|la] France";"etat francais représenté par le ministère de l&apos;économie de l&apos;industrie et de l&apos;emploi ministère service de la communication NA";"Etat Français"
"159";"3582314";"cci nord de france";"Marque expirée";20080616;20180616;"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat";"chambre de commerce et d industrie nord de france,chambre de commerce et d industrie grand hainaut";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3582314";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat chambre de commerce et d industrie nord de france,chambre de commerce et d industrie grand hainaut";"Etablissement public"
"160";"3582315";"chambre de commerce et d&apos;industrie nord de france";"Marque expirée";20080616;20180616;"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat";"chambre de commerce et d industrie nord de france,chambre de commerce et d industrie grand hainaut";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3582315";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat chambre de commerce et d industrie nord de france,chambre de commerce et d industrie grand hainaut";"Etablissement public"
"161";"3582318";"cci nord de france avesnes – cambrai – valenciennes";"Marque expirée";20080616;20180616;"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3582318";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat NA";"Etablissement public"
